Country;Trust_Own_Country_pct;Trust_EU_pct;Trust_US_pct;Trust_China_pct
U.S.;44;43;44;13
Canada;64;57;33;17
France;47;47;21;17
Germany;70;71;33;23
Greece;22;38;37;34
Hungary;56;56;56;43
Italy;37;42;32;33
Netherlands;68;68;35;25
Poland;53;44;37;13
Spain;55;61;34;31
Sweden;55;54;25;15
UK;57;56;37;24
Australia;65;59;30;15
India;89;44;64;27
Indonesia;74;58;54;64
Japan;41;43;41;17
South Korea;55;53;58;21
Israel;72;54;70;22
Turkey;60;36;23;32
Kenya;54;58;62;61
Nigeria;46;72;79;79
South Africa;64;42;50;57
Argentina;33;31;35;39
Brazil;36;26;35;32
Mexico;50;35;24;38
